Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Memory: Record/Erase,Nalini Malani,1996,"Video (color, sound)",10 min.,http://www.moma.org/collection/works/188788,,,,,,,,,
".5: 2 5/8 x 6 5/8"""" (6.7 x 16.8 cm)"
Untitled (you are dead...),Jon Pylypchuk,2003,"Ink, watercolor, cut-and-pasted paper, fabric, floor sweepings, toy eyes, wood, glitter, and glue on cut-and-pasted paper","20 1/2 x 18"" (52.1 x 45.7 cm)",http://www.moma.org/collection/works/97131,,,,52.1,,,45.7,,
(Portrait),Alfred Capel Cure,1826-96,Albumen silver print,,,,,,,,,,,
"National Commercial Bank, Jeddah, Saudi Arabia (Elevation of service block)","Skidmore Owings & Merrill, Gordon Bunshaft",1977,Felt-tipped pen and color pencil on tracing paper,"56 1/4 x 30"" (142.9 x 76.2 cm)",http://www.moma.org/collection/works/688,,,,142.8753,,,76.2002,,
Red. Costume design for the ballet Juke-Box,Tom Lee,1941,"Watercolor, pencil, cut-and-pinned paper with pencil, and stamped colored ink on paper","17 7/8 × 11 7/8"" (45.4 × 30.2 cm)",http://www.moma.org/collection/works/86153,,,,45.4025908052,,,30.2,,
Figure,Horst Antes,(1961),Lithograph,"composition: 23 7/8 x 17 1/4"" (60.6 x 43.8 cm); sheet: 24 11/16 x 18 1/16"" (62.7 x 45.9 cm)",http://www.moma.org/collection/works/74446,,,,60.6,,,43.8,,
Five Year Plan in Four Years,Gustav Klutsis,1930,Lithograph,"41 1/8 x 29 1/8"" (104.5 x 74 cm)",http://www.moma.org/collection/works/6522,,,,104.5,,,74.0,,
"27 Kulturfilme, UFA - Gold",,1934,Bound Volume - Advertising Graphic,"8 ½"" x 7"" x  ½"" (21.6 x 17.8 x 1.3 cm)",,,1.27000254,,21.5900431801,,,17.7800355601,,
"Supplementary plate (comp. irreg.):  7 3/8 x 7 1/2"""" (18.7 x 18.9 cm)""",John B. Turner Fund,http://www.moma.org/collection/works/11454,,,
"Hitterdal, Norway",Henry Rosling,c. 1860,Albumen silver print,"6 3/8 × 8"" (16.3 × 20.3 cm)",http://www.moma.org/collection/works/56155,,,,16.3,,,20.3,,
"Album cover for Shakin 'Dudi, Złota Płyta",Mirosław Ryszard Ryszard,1985,Lithograph,"12 1/4 x 12 1/4"" (31.1 x 31.1 cm)",http://www.moma.org/collection/works/189179,,,,31.1150622301,,,31.1150622301,,
"sheet  20 5/8 x 30"""" (52.4 x 76.3 cm)""","Gift of Kleiner, Bell & Co.",,,,
Plate 13 (folio 46) from DECLARACION UNIVERSAL DE DERECHOS HUMANOS,Rufino Tamayo,1984,"Lithograph, printed in color","composition  19 5/8 x 13 3/4"" (49.9 x 35 cm)
Pages #7 from Pages,Robert Mangold,3723,(American","plate: 8 7/8 x 9 15/16"" (22.6 x 25.2 cm); sheet: 13 3/4 x 13 7/8"" (35 x 35.3 cm)",199.1990.7,Print,Drawings & Prints,1990-05-20,Y,64302,http://www.moma.org/collection/works/64302,http://www.moma.org/media/W1siZiIsIjE4OTgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5f2e3cb1571506bc,
Untitled,Blanche Parker,1925-27,Album page with collaged gelatin silver prints and papers with handwritten captions,"11 1/4 × 15 1/2"" (28.6 × 39.4 cm)",,,,,28.5750571501,,,39.3700787402,,
"Tugendhat House, Brno, Czech Republic (Recessed ceiling lamp. Two sections.)",Ludwig Mies van der Rohe,1928–1930,Pencil on tracing paper,"23 1/4 x 19 1/4"" (59.1 x 48.9 cm)",http://www.moma.org/collection/works/87571,,,,20.955,,,33.0201,,
Bagatelle,Eugène Atget,1913,Albumen silver print,"Approx. 8 11/16 × 6 9/16"" (22 × 16.7 cm)",http://www.moma.org/collection/works/43686,,,,,,,,,
Darmstadt Kunstler Kolonie (Poster for the Darmstadt Artists' Colony),Peter Behrens,1901,Lithograph,"49 x 17 1/8"" (124.5 x 43.5 cm)",http://www.moma.org/collection/works/141533,,,,124.4602489205,,,43.4975869952,,
Untitled from Unité,Le Corbusier (Charles-Édouard Jeanneret),1963–65,One from a portfolio of twenty etchings,"plate: 16 7/16 x 12 1/2"" (41.8 x 31.8 cm); sheet: 22 1/2 x 17 15/16"" (57.1 x 45.5 cm)",http://www.moma.org/collection/works/156397,,,,41.8,,,31.8,,
"Gaudy Dawn, Texas",Margaret Ann Moorman,(1977),Gouache and pencil on paper,"15 x 22 1/4"" (38.1 x 56.5 cm)",http://www.moma.org/collection/works/36053,,,,38.1,,,56.5,,
Flatware,"Luigi Caccia Dominioni, Pier Giacomo Castiglioni",1938,Handwrought silver,".1 (salad knife): 7 15/16 x 11/16"" (20.2 x 1.8 cm)
One Hour,James Riddle,4913,(American",,FC2031,Print,Fluxus Collection,2008-10-08,N,135166,,,
Two Views of One Mishap of Minor Consequence,Robert Cumming,1973,Gelatin silver prints,"each 7 5/8 × 9 5/8"" (19.4 × 24.5 cm)",,,,,19.4,,,24.5,,
Kingyo Kingdom,"Revital Cohen, Tuur Van Balen",2013,Cyanotype,"19 5/16 x 27 3/16"" (49 x 69 cm)",http://www.moma.org/collection/works/193108,,,,49.0,,,69.0,,
"San Juan, Puerto Rico",Lee Friedlander,1979,Gelatin silver print,"12 15/16 × 8 5/8"" (32.8 × 21.9 cm)",,,,,32.8,,,21.9,,
Pelikan Künstler-Farben Zet (Pelikan artist’s paints),Ludwig Hohlwein,c. 1925,Lithograph,"21 3/4 x 16 7/8"" (55.3 x 42.9 cm)",http://www.moma.org/collection/works/6338,,,,55.3,,,42.9,,
",MR13.2,Mies van der Rohe Archive,Architecture & Design,,N,107266,,,,,,76.2001524003,,,101.6002032004,,
Costume design for the ballet Charade (or The Debutante),Alvin Colt,1201,(American"," 1916–2008)""","22 × 14 1/8"" (55.9 × 35.9 cm)",Gift of Lincoln Kirstein,274.1942.10,,,55.8801117602,,,35.8775717551,,
Gymnastics Teacher,August Sander,1925,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",http://www.moma.org/collection/works/193882,,,,,,,,,
"Salerno, Italy",Henri Cartier-Bresson,1933,"Gelatin silver print, printed 1947","13 5/16 × 19 9/16"" (33.8 × 49.7 cm)",http://www.moma.org/collection/works/50059,,,,33.8,,,49.7,,
In-text plate (folio 11 verso) from LA MÉTROMANIE,Jean Dubuffet,1949-1950,,"irreg. composition  6 5/8 x 3 9/16"" (16.8 x 9 cm)",,,,,16.8,,,9.0,,
Burning Rocks,Gabor Peterdi,1959,Relief etching,"plate: 22 11/16 × 32 1/2"" (57.7 × 82.5 cm); sheet: 25 3/16 × 34 13/16"" (63.9 × 88.5 cm)",http://www.moma.org/collection/works/59986,,,,57.7,,,82.5,,
"Kneeling Woman, Small (Kniende, klein)",Wilhelm Lehmbruck,(1910),Drypoint,"plate: 9 3/8 x 7 1/16"" (23.8 x 17.9cm); sheet: 12 15/16 x 9 15/16"" (32.8 x 25.3 cm)",http://www.moma.org/collection/works/68404,,,,23.8,,,17.9,,
Bruynzeel Fineerfabriek stationery order form,Piet Zwart,1950s,Pencil on paper and tracing paper,"13 1/4 × 9 3/4"" (33.7 × 24.8 cm)",http://www.moma.org/collection/works/203415,,,,33.6550673101,,,24.7650495301,,
Untitled,Lynn Davis,1973,Gelatin silver print,"6 3/4 × 10"" (17.2 × 25.4 cm)",http://www.moma.org/collection/works/44251,,,,17.2,,,25.4,,
L'Art est inutile,Ben Vautier,1968,Letterpress,"sheet: 11 5/16 × 19 5/8"" (28.7 × 49.8 cm)",http://www.moma.org/collection/works/136378,,,,28.7,,,49.8,,
Garry Winogrand,Garry Winogrand,1978,"Gelatin silver print, printed 1978",,,,,,,,,,,
"Balboa Terminals. Coaling Station, finished riprapping wall of coal pocket",Unknown photographer,"April 20, 1916",Gelatin silver print,"7 1/16 × 9 1/2"" (17.9 × 24.1 cm)",,,,,17.9,,,24.1,,
"The Brown Sisters, Dallas, Texas",Nicholas Nixon,2008,Gelatin silver print,"7 11/16 × 9 5/8"" (19.6 × 24.5 cm)",http://www.moma.org/collection/works/125314,,,,19.6,,,24.5,,
Museum Storeroom,Ansel Adams,1933,Gelatin silver print,"7 1/16 × 9"" (18.1 × 22.9 cm)",http://www.moma.org/collection/works/44098,,,,18.1,,,22.9,,
"Up to third grade, everything I knew about school I knew from Miss Grey, the English live-in tutor in Cunagua",Antonio Mendoza,1983,Gelatin silver print,"sheet  14 × 10 7/8"" (35.5 × 27.6 cm)",http://www.moma.org/collection/works/54040,,,,35.5,,,27.6,,
Photo-Transformation,Lucas Samaras,1974,Color instant print,"3 1/8 × 3 1/8"" (7.9 × 7.9 cm)",http://www.moma.org/collection/works/45500,,,,7.9,,,7.9,,
Ornamental initial E (page 6) from CANTICUM CANTICORUM SALOMONIS,Eric Gill,1931,,"composition  1/2 x 1/2"" (1.3 x 1.3 cm)",,,,,1.3,,,1.3,,
Plate (variant of frontispiece; facing page 82) from LA LÉGENDE ET LA VIE D'UTRILLO,Maurice Utrillo,(1927),"Lithograph, printed in black","irreg. composition  8 1/16 x 6 3/4"" (20.5 x 17.2 cm)",,,,,20.5,,,17.2,,
",MR4000.54,Mies van der Rohe Archive,Architecture & Design,,Y,194620,http://www.moma.org/collection/works/194620,,,,,73.6601473203,,,105.4102108204,,
Igor,Philip-Lorca diCorcia,7027,(American"," born 1951)""","15 11/16 × 22 7/8"" (39.8 × 58.1 cm)",Gift of Carol and Arthur Goldberg,1184.2001.x1-x2,,,39.8,,,58.1,,
Incandescent Frames (study 1),Lauretta Vinciarelli,1998,Watercolor and colored pencil on paper,"22 1/2 × 15"" (57.2 × 38.1 cm)",,,,,57.1501143002,,,38.1000762002,,
Machete,Unknown Designer,Before 1938,Steel blade and bone handle,"l. 27"" (68.6 cm)",http://www.moma.org/collection/works/3543,,,,,68.6,,,,
"Untitled, no. 2 of 36, from the series, The Fragile",Louise Bourgeois,2007,"Digital print, with hand additions","sheet: 11 1/2 x 9 1/2"" (29.2 x 24.1 cm)",http://www.moma.org/collection/works/153256,,,,29.2,,,24.1,,
Sienna Dinnerware,Siegfried Moeller,Before 1952,Glazed ceramic,".1 (serving bowl): diam. 9 1/2"" (24.1 cm)
St Joan At Beaurevoir 5,Dick Higgins,2637,(American",,FC5006.5,Audio,Fluxus Collection,,N,277902,,,
Poem No. 22: Leaf and Clouds,Koshiro Onchi,"1953, printed 1957",Woodcut,"composition (irreg.): 16 9/16 × 14"" (42 × 35.5 cm); sheet: 19 13/16 × 15 1/4"" (50.3 × 38.8 cm)",http://www.moma.org/collection/works/61339,,,,42.0,,,35.5,,
Landmark,Robert Rauschenberg,1968,Lithograph,"composition (irreg.): 41 3/8 x 27 13/16"" (105.1 x 70.6 cm); sheet: 42 5/8 x 30 1/8"" (108.2 x 76.5 cm)",http://www.moma.org/collection/works/77333,,,,105.1,,,70.6,,
Untitled,Louise Bourgeois,1993,"Drypoint, with hand additions","plate: 7 1/4 x 5 1/2"" (18.4 x 14 cm); sheet: 11 1/8 x 9 1/2"" (28.3 x 24.2 cm)",http://www.moma.org/collection/works/71888,,,,18.4,,,14.0,,
Untitled from the series FORTUNE KOOKIE,Walasse Ting,(October 27-November 11) 1964,"Lithograph, printed in color","composition  15 9/16 x 20"" (39.5 x 50.9 cm)",,,,,39.5,,,50.9,,
"13 let raboty, vol. 2",Anton Lavinskii,1922,"Cover with letterpress lettering on front, back, and spine","Page: 7 1/4 x 4 1/2"" (18.4 x 11.4 cm)",http://www.moma.org/collection/works/13150,,,,18.4,,,11.4,,
Your Plinth is My Lap,Fiona Banner,2002,12-inch vinyl and cover with etching,"sheet (cover): 14 3/16 x 14 1/16"" (36 x 35.7 cm)",http://www.moma.org/collection/works/188853,,,,36.0,,,35.7,,
",808.2013,Media,Drawings & Prints,2013-10-10,N,175762,,,,0.6,,12.5,,,14.0,,
Low Tide Wandering No. 39 (Wattwanderung No. 39) from Low Tide Wandering (Wattwanderung),Thomas Schütte,5281,(German"," born 1954)""","plate: 4 3/16 x 6 1/8"" (10.6 x 15.6 cm); sheet: 12 11/16 x 17 5/8"" (32.2 x 44.7 cm)",Sue and Edgar Wachenheim III Fund and Gift of the Contemporary Arts Council of The Museum of Modern Art,300.2011.39,,,10.6,,,15.6,,
England,Josef Koudelka,1973,Gelatin silver print,"9 5/16 × 14 1/8"" (23.9 × 36.0 cm)",http://www.moma.org/collection/works/48447,,,,23.9,,,36.0,,
Plate (page 71) from Wunderhorn,Max Ernst,1970,Lithograph from an illustrated book with 36 lithographs,"composition (irreg.): 7 1/16 × 7"" (18 × 17.8 cm); page: 12 5/8 × 9 13/16"" (32 × 25 cm)",,,,,18.0,,,17.8,,
Trio for Strings (page 1) for Fluxus 1,La Monte Young,"1958, assembled 1964",Offset,"book: 7 1/2 × 8 1/4 × 2 3/16"" (19.1 × 21 × 5.5 cm)",,,5.5,,19.1,,,21.0,,
Actualidad Grafica Panorama Artistico,Various Artists,1977,One from a portfolio of thirty-six prints in various media,,,,,,,,,,,
Untitled,Unknown photographer,c. 1940,,,,,,,0.0,,,0.0,,
"Plate 48 from Khudozhestvennoe oformlenie massovykh prazdnestv v Leningrade, 1918-1931","Various Artists, Leonid Akishin, Natan Al'tman, Vladimir Baranoff-Rossiné, Kseniia Boguslavskaia, David Buryshkin, The Decorative Arts Institute, Mstislav Dobuzhinskii, Duplitskii, Izoram, Vladimir Kozlinskii, Boris Kustodiev, Vladimir Lebedev, Sarra Lebedeva, Mikhail Matiushin, The October Brigade, Proletkult, Leningrad, David Shterenberg, N. A. Trotskii, Unknown Artist",1932,Photomechanical reproduction,"page: 5 13/16 x 4 1/8"" (14.8 x 10.4 cm)",,,,,14.8,,,10.4,,
Wrapper back from ELEMENTS,Roger Vieillard,1957,"Engraving, printed in black","plate  1 15/16 x 1 5/8"" (5 x 4.2 cm)",,,,,5.0,,,4.2,,
Mo-Sai Pre-Cast Facing Slabs,Ladislav Sutnar,1941-1960,Lithograph,"11 x 8 3/8"" (27.9 x 21.3 cm)",http://www.moma.org/collection/works/129039,,,,27.9400558801,,,21.2725425451,,
Untitled,Abigail Perlmutter,1974,Gelatin silver print,"18 × 12"" (45.7 × 30.5 cm)",http://www.moma.org/collection/works/51694,,,,45.7,,,30.5,,
Color Studies,Jan Dibbets,1973,Chromogenic color print,"8 9/16 × 11 3/16"" (21.7 × 28.4 cm)
Die Aktion",(1940),"September 7, 1918",Periodical with eight woodcuts (one on cover) by Jerzy von Hulewicz,"page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)",Committee on Prints and Illustrated Books Fund and The Library Council,947.2010.242.1-8,Periodical,Drawings & Prints,2010-11-10,Y
",Miranda Kaiser Fund", Ann and Lee Fensterstock Fund,2002-06-18,Y,85843,,,
Balboa Terminals. Unloader Wharf. Pouring Piers in Cofferdam,Unknown photographer,"March 17, 1916",Gelatin silver print,"7 × 9 9/16"" (17.8 × 24.3 cm)",,,,,17.8,,,24.3,,
Plate (folio 8) from TECHNICAL ERROR 31,Mimi Smith,1990,"Line block, printed in black with acrylic additions","irreg composition  6 7/16 x 4 11/16"" (16.4 x 11.9 cm)",,,,,16.4,,,11.9,,
Man in Profile from Réincarnations du Père Ubu,Georges Rouault,(1932),"Etching and aquatint with roulette
Poster for Le Théâtre Total,Ben Vautier,6115,(French"," born Italy. 1935)""",The Gilbert and Lila Silverman Fluxus Collection Gift,Print,Drawings & Prints,2008-10-08,Y,136380,http://www.moma.org/collection/works/136380,http://www.moma.org/media/W1siZiIsIjQwMDY2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=759b74523d89fdda,,
Man with Pointed Nose (Mann mit spitzer Nase),Christian Rohlfs,(1921),Woodcut,"composition: 9 5/8 x 4 7/8"" (24.4 x 12.4 cm); sheet: 9 5/8 x 4 7/8"" (24.4 x 12.4 cm); mount: 14 3/4 x 9 7/8"" (37.5 x 25.1 cm)",http://www.moma.org/collection/works/61080,,,,24.4,,,12.4,,
Framework Houses,"Bernd Becher, Hilla Becher",1959-73,21 gelatin silver prints,"each 16 1/4 × 12"" (41.2 × 30.5 cm)",http://www.moma.org/collection/works/127884,,,,41.2,,,30.5,,
Frida Rivera,Imogen Cunningham,1931,Gelatin silver print,"8 1/4 × 6 1/8"" (21 × 15.6 cm)",http://www.moma.org/collection/works/45082,,,,21.0,,,15.6,,
Shaman Showman from Insicuro Noncurante,Alighiero Boetti,1966-75,One from a portfolio of eighty two mixed media prints,"each: 21 5/8 x 17 11/16"" (55 x 45 cm)",http://www.moma.org/collection/works/156981,,,,55.0,,,45.0,,
Entry Panel for MoMA Competition for Organic Design in Home Furnishings,"Charles Eames, Eero Saarinen",1940,Gelatin silver print with hand-painted letters,"30 x 20"" (76.2 x 50.8 cm)",http://www.moma.org/collection/works/4501,,,,76.2002,,,50.8001,,
Untitled,Blanche Parker,1925-27,Album page with collaged gelatin silver prints and papers with handwritten captions,"11 1/4 × 15 1/2"" (28.6 × 39.4 cm)",,,,,28.5750571501,,,39.3700787402,,
Untitled,John Brook,1956,Gelatin silver print (chloride),"14 × 11"" (35.5 × 28.0 cm)",http://www.moma.org/collection/works/53284,,,,35.5,,,28.0,,
"Remodeling of the Apartment of G. Büren, Wannsee, Berlin, Germany, Plan (print of R7.4)",Lilly Reich,1938,Pencil on print,"20 1/4 x 22"" (51.4 x 55.9 cm)",,,,,51.4351028702,,,55.8801117602,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,c.1931,Ink on tracing paper,"8 5/8 x 10 5/8"" (21.9 x 27 cm)",http://www.moma.org/collection/works/106507,,,,21.9075,,,26.9876,,
Untitled,Ernest Cole,1960-63,Gelatin silver print,"6 1/2 × 9 7/16"" (16.5 × 24 cm)",http://www.moma.org/collection/works/46090,,,,16.5,,,24.0,,
Wahre Freundschaft,"VALIE EXPORT, Ingrid Wiener",1978,12-inch vinyl record,"cover: 12 1/4 × 12 3/8"" (31.1 × 31.4 cm)",http://www.moma.org/collection/works/183962,,0.0,,31.1150622301,,,31.4325628651,,
"Mosler House, Neubabelsberg, Germany (Bathroom windows. Detail section.)",Ludwig Mies van der Rohe,1924-1926,Print,"22 3/4 x 23 3/4"" (57.8 x 60.3 cm)",,,,,57.7851155702,,,60.3251206502,,
Plate (facing page 42) from THE POET'S EYE,John Craxton,1944,,"irreg. composition  3 3/4 x 4 3/8"" (9.5 x 11.2 cm)",,,,,9.5,,,11.2,,
"CERES (plate; volume I, page 13) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,1933-1947,"Etching, printed in black","plate  11 1/2 x 9 5/8"" (29.2 x 24.4 cm)",,,,,29.2,,,24.4,,
",Carl Jacobs Fund,1055.2015.a-i,Photograph,Photography,2015-10-15,Y,193174,http://www.moma.org/collection/works/193174,http://www.moma.org/media/W1siZiIsIjMzNjY4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ea19566ca9744f2,,,,16.5,,,18.0,,
Hillock,Vasily Yakovlovich Sitnikov,5458,(Russian"," 1915–1987)""","23 5/8 x 32 3/4"" (59.8 x 83.2 cm)",Given anonymously,404.1963,,,60.0,,,83.2,,
Time/time projected in 2 dim. space POETRY GRAPHICS/space/space projected in time GRAPHIC MUSIC/Time/Time projected in space MUSIC THEATER/space,George Maciunas,c. 1962,Diazotype,"sheet: 6 13/16 x 11 5/8"" (17.3 x 29.6 cm)",http://www.moma.org/collection/works/127441,,,,17.3,,,29.6,,
"Plate III (facing page 18) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,1927-1940,,"irreg. composition  3 11/16 x 1 15/16"" (9.4 x 4.9 cm)",,,,,9.4,,,4.9,,
Vladimir Maiakovskii. Odnodnevnaia gazeta (Vladimir Mayakovsky: One-Day Newspaper),"Russian Book Collection, Various Authors",1930,,"page: 21 5/8 x 13 15/16"" (55 x 35.4 cm)",,,,,55.0,,,35.4,,
"sheet  5 15/16 x 5 15/16"""" (15.2 x 15.2 cm)""","Gift of Kleiner, Bell & Co.",,,,
Ma cosa fai ma cosa dici from Insicuro Noncurante,Alighiero Boetti,1966-75,One from a portfolio of eighty two mixed media prints,"each: 21 5/8 x 17 11/16"" (55 x 45 cm)",http://www.moma.org/collection/works/157009,,,,55.0,,,45.0,,
Untitled from Cuban Sketch Book,Jules Pascin,(c. 1914-20),Conté crayon on paper,"6 7/8 x 8 1/4"" (17.4 x 21 cm)",http://www.moma.org/collection/works/34359,,,,17.5,,,21.0,,
Brussels World Fair (View of the fair),"Robert Brownjohn, Ivan Chermayeff, Thomas Geismar",1958,Silver-gelatin print,"10 x 8"" (25.4 x 20.3 cm)",http://www.moma.org/collection/works/155371,,,,25.4000508001,,,20.3200406401,,
#8 No,Ay-O,1965,Screenprint with collage addition,"composition: 2 1/2 x 2 1/4"" (6.3 x 5.7cm); sheet: 28 1/2 x 22 9/16"" (72.4 x 57.3cm)",http://www.moma.org/collection/works/64161,,,,6.3,,,5.7,,
Stems,Lee Friedlander,1994,Gelatin silver print,"15 × 14 3/4"" (38.1 × 37.5 cm)",http://www.moma.org/collection/works/106191,,,,38.1,,,37.5,,
",Gift of the architect in honor of Philip Johnson,351.1996,Architecture,Architecture & Design,1996-09-25,Y,345,http://www.moma.org/collection/works/345,http://www.moma.org/media/W1siZiIsIjU1MTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=be6cce3f039cc39c,,,,21.6,,,38.7,,
Low Tide Wandering No. 10 (Wattwanderung No. 10) from Low Tide Wandering (Wattwanderung),Thomas Schütte,5281,(German"," born 1954)""","plate: 5 3/8 x 7 3/8"" (13.7 x 18.7 cm); sheet: 12 11/16 x 17 5/8"" (32.2 x 44.7 cm)",Sue and Edgar Wachenheim III Fund and Gift of the Contemporary Arts Council of The Museum of Modern Art,300.2011.10,,,13.7,,,18.7,,
Spielautomat (Slot Machine),Isa Genzken,1999,"Slot machine, paper, chromogenic color prints, and tape","63 x 25 5/8 x 19 2/3"" (160 x 65 x 50 cm)",http://www.moma.org/collection/works/152784,,49.9534332402,,160.0,,,65.0,,
ICEBERG WITH THE FIGURE OF A MAN CLINGING TO THE TOP,"George P. Critcherson, John L. Dunmore",1869,Albumen silver print from a glass negative,"3 × 4 3/16"" (7.6 × 10.7 cm)",,,,,7.6,,,10.7,,
The Empress's New Clothes. Costume design for the theatrical revue Oh! Calcutta!,Allen Jones,May 1970,"Colored pencil, ballpoint pen, and pencil on paper","22 7/8 x 30 7/8"" (58.1 x 78.4 cm)",http://www.moma.org/collection/works/35982,,,,58.1,,,78.4,,
Piano Part IV from Co-Action for Cello and Piano I,Yoriaki Matsudaira,1963,Ink on transparentized paper,"sheet: 8 3/16 x 11 5/8"" (20.8 x 29.5 cm)",http://www.moma.org/collection/works/149755,,,,20.8,,,29.5,,
Fifth unbound plate from Leaders et enfants nus,Jean Ipoustéguy,1969,Aluminum,"composition  10 3/4 x 10 3/4"" (27.4 x 27.3 cm)",http://www.moma.org/collection/works/13338,,,,27.4,,,27.3,,
Untitled,Eugène Atget,Before 1900,Gelatin silver printing-out-paper print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",http://www.moma.org/collection/works/43645,,,,,,,,,
The Park on Sunday,Abraham Walkowitz,1918,Etching,"Plate 4 x 6 15/16"" (10.1 x 17.6 cm) Sheet 8 7/8 x 11 1/2"" (22.6 x 29.1 cm)",,,,,10.1,,,17.6,,
"New York, New York",Stephen Shore,1974,Stereo slide,"1 5/8 × 4"" (4.1 × 10.2 cm)",http://www.moma.org/collection/works/222788,,,,4.127508255,,,10.16002032,,
THEATER (Bühne),Josef Eberz,1916,Oil on cardboard,"9 1/4 x 11 7/8"" (23.4 x 30.1 cm)",http://www.moma.org/collection/works/37891,,,,23.5,,,30.2,,
The Brothers,Clarence H. White,c. 1905,Photogravure,"8 1/16 × 6 3/16"" (20.5 × 15.7 cm)",http://www.moma.org/collection/works/45822,,,,20.5,,,15.7,,
